South Shenango township	Pennsylvania	2001	[[-80.5193273, 41.48624439999999], [-80.3951275, 41.5785071]]
Sparks town	Georgia	2002	[[-83.459991, 31.149098000000002], [-83.422424, 31.185876]]
Mount Olive city	Illinois	2002	[[-89.74224000000001, 39.064265], [-89.71762600000002, 39.079708000000004]]
Camden township	Michigan	2003	[[-84.767548, 41.748403], [-84.74760600000002, 41.763183000000005]]
Polk township	Ohio	2003	[[-82.224586, 40.937560999999995], [-82.20486700000001, 40.95233]]
Johnson City city	Texas	2003	[[-98.402536, 30.287831], [-98.402172, 30.288165999999997]]
Hillsboro Beach town	Florida	2004	[[-80.08362440000002, 26.253723899999997], [-80.0693228, 26.3053542]]
Burnham borough	Pennsylvania	2004	[[-77.57747499999999, 40.621549], [-77.546701, 40.647653999999996]]
Farmer City city	Illinois	2005	[[-88.662553, 40.23253800000001], [-88.62068, 40.262332000000015]]
Valley View village	Ohio	2005	[[-81.641444, 41.35109729999999], [-81.584745, 41.417501099999996]]
Hildebran town	North Carolina	2006	[[-81.446398, 35.705421], [-81.39939, 35.733477]]
Kahoka city	Missouri	2007	[[-91.73464400000002, 40.412986999999994], [-91.701334, 40.43511000000001]]
Syracuse city	Nebraska	2007	[[-96.197821, 40.651205999999995], [-96.17200399999999, 40.672865]]
Ocean Gate borough	New Jersey	2008	[[-74.14720100000001, 39.922819000000004], [-74.12377899999998, 39.930524]]
Burns Flat town	Oklahoma	2008	[[-99.18802, 35.334855999999995], [-99.16670099999999, 35.365753000000005]]
Aitkin city	Minnesota	2009	[[-93.734342, 46.51148949999999], [-93.68426000000001, 46.542616]]
Saltville town	Virginia	2009	[[-81.800967, 36.84826699999999], [-81.736635, 36.905711000000004]]
Rainier city	Washington	2011	[[-122.70291900000001, 46.87966399999999], [-122.67108599999999, 46.905297]]
Trail Creek town	Indiana	2012	[[-86.864791, 41.687372], [-86.84521900000001, 41.7074973]]
Albany city	Kentucky	2013	[[-85.149492, 36.667025], [-85.116312, 36.720391000000006]]
Cordova city	Alabama	2014	[[-87.222114, 33.744732000000006], [-87.15721970000001, 33.786762]]
Carbon Cliff village	Illinois	2014	[[-90.40792800000001, 41.48158299999999], [-90.37208029999998, 41.514535]]
Nisswa city	Minnesota	2014	[[-94.32994099999999, 46.455462], [-94.26518, 46.54459]]
Plymouth township	Ohio	2014	[[-82.68818099999999, 40.977136], [-82.650973, 41.018069]]
Granite town	Oklahoma	2015	[[-99.395922, 34.943375], [-99.34311000000001, 34.976344]]
Ronan city	Montana	2016	[[-114.11087099999999, 47.53832200000001], [-114.10251199999999, 47.544093]]
